Período;Código Capítulo Diagnóstico ICD9CM/ICD10CMPCS;Descrição Capítulo Diagnóstico ICD9CM/ICD10CMPCS;Instituição;Região;Faixa Etária;Género;Internamentos;Dias de Internamento;Ambulatório;Óbitos
2021-03;9;Doenças do aparelho circulatório;Centro Hospitalar Universitário de S. João, E.P.E.;Região de Saúde do Norte;[5-15[;M;2;4;0;0
2021-03;9;Doenças do aparelho circulatório;Centro Hospitalar Universitário do Algarve, E.P.E.;Região de Saúde do Algarve;[15-25[;F;2;18;0;0
2021-03;9;Doenças do aparelho circulatório;Centro Hospitalar Universitário do Algarve, E.P.E.;Região de Saúde do Algarve;[65-120[;M;157;2056;4;23
2021-03;9;Doenças do aparelho circulatório;Centro Hospitalar Universitário do Porto, E.P.E.;Região de Saúde do Norte;[25-45[;M;9;57;5;0
2021-03;9;Doenças do aparelho circulatório;Centro Hospitalar Universitário Lisboa Central, E.P.E.;Região de Saúde LVT;[25-45[;M;25;118;4;0
2021-03;9;Doenças do aparelho circulatório;Centro Hospitalar Universitário Lisboa Central, E.P.E.;Região de Saúde LVT;[5-15[;M;3;26;0;0
2021-03;9;Doenças do aparelho circulatório;Centro Hospitalar Universitário Lisboa Central, E.P.E.;Região de Saúde LVT;[65-120[;M;177;1289;21;14
2021-03;9;Doenças do aparelho circulatório;Hospital Beatriz Ângelo - Loures;Região de Saúde LVT;[25-45[;F;1;20;0;0
2021-03;9;Doenças do aparelho circulatório;Hospital da Fundação Aurélio Amaro Diniz;Região de Saúde do Centro;[65-120[;M;1;13;0;1
2021-03;9;Doenças do aparelho circulatório;Hospital de Braga, E.P.E.;Região de Saúde do Norte;[65-120[;F;113;1122;80;6
2021-03;9;Doenças do aparelho circulatório;Hospital de Braga, E.P.E.;Região de Saúde do Norte;[65-120[;M;116;1217;70;11
2021-03;9;Doenças do aparelho circulatório;Hospital de Vila Franca de Xira, E.P.E.;Região de Saúde LVT;[25-45[;M;3;9;0;0
2021-03;9;Doenças do aparelho circulatório;Hospital de Vila Franca de Xira, E.P.E.;Região de Saúde LVT;[65-120[;F;87;1254;0;11
2021-03;9;Doenças do aparelho circulatório;Hospital Distrital da Figueira da Foz, E.P.E.;Região de Saúde do Centro;[45-65[;F;2;4;1;0
2021-03;9;Doenças do aparelho circulatório;Hospital Distrital da Figueira da Foz, E.P.E.;Região de Saúde do Centro;[65-120[;M;20;143;0;4
2021-03;9;Doenças do aparelho circulatório;Hospital Distrital de Santarém, E.P.E.;Região de Saúde LVT;[45-65[;F;12;59;0;0
2021-03;9;Doenças do aparelho circulatório;Hospital do Divino Espírito Santo de Ponta Delgada, EPER;Região de Saúde dos Açores;[25-45[;M;4;136;1;1
2021-03;9;Doenças do aparelho circulatório;Hospital do Divino Espírito Santo de Ponta Delgada, EPER;Região de Saúde dos Açores;[45-65[;F;16;74;5;0
2021-03;9;Doenças do aparelho circulatório;Hospital do Espírito Santo - Évora, E.P.E.;Região de Saúde do Alentejo;[45-65[;F;9;26;13;2
2021-03;9;Doenças do aparelho circulatório;Hospital Dr. Francisco Zagalo - Ovar;Região de Saúde do Centro;[25-45[;F;1;2;0;0
2021-03;9;Doenças do aparelho circulatório;Hospital Dr. Francisco Zagalo - Ovar;Região de Saúde do Centro;[65-120[;F;7;73;0;1
2021-03;9;Doenças do aparelho circulatório;Hospital Dr. Francisco Zagalo - Ovar;Região de Saúde do Centro;[65-120[;M;1;10;0;0
2021-03;9;Doenças do aparelho circulatório;Hospital Garcia de Orta, E.P.E. - Almada;Região de Saúde LVT;[15-25[;M;1;8;0;0
2021-03;9;Doenças do aparelho circulatório;Hospital Garcia de Orta, E.P.E. - Almada;Região de Saúde LVT;[25-45[;F;5;79;0;0
